id,name,source
1951,Hopkinsville Casky Yard,scraped
1954,Paducah,scraped
1956,TVA Shawnee Power Plant,scraped
1958,Milner,scraped
1959,Livonia,scraped
1963,Burns Harbor,scraped
1964,Charleston South Yard,scraped
1965,Greer,scraped
1966,Mansfield Oak Street Yard,scraped
1970,Jackson North Yard,scraped
1972,Vicksburg,scraped
1973,Glendale,scraped
1975,Clinton Warwick Yard,scraped
1976,Denver Sand Creek Yard,scraped
1977,Denver Silver Yard,scraped
1979,Denver North Washington,scraped
1980,Denver Stock Yards,scraped
1981,Denver Rennicks Yard,scraped
1982,Houston La Porte Strang Yard UP,scraped
1983,Memphis Pigeon Park,scraped
1986,Decatur North-Runaround Yard,scraped
1987,Westlake CPKC,scraped
1989,Missoula,scraped
1996,Spencer,scraped
1997,Pleasant Prairie CPKC,scraped
1998,Chicago 63rd Street Yard,scraped
2001,Smithers Lake,scraped
2005,Bridgeport,scraped
2008,Seattle Stacy St. Yard,scraped
2012,Reserve CN,scraped
2015,Mobile Sibert Yard,scraped
2023,Riverbank,scraped
2024,Oakdale,scraped
2025,Miami CSX Hialeah Yard,scraped
2026,Effingham CN,scraped
2028,West Chicago UP,scraped
2031,Midlothian,scraped
2033,Hearne,scraped
2034,Jacksonville Moncrief Yard,scraped
2037,Ennis,scraped
2040,Knoxville CSX,scraped
2041,Sauget Fox Terminal,scraped
2042,Sauget KCS,scraped
2047,Northwest Ohio ICTF,scraped
2048,Cincinnati Gest St. Yard,scraped
2050,Laredo CPKC Yard,scraped
2057,Mechanicville,scraped
2060,Elizabeth Erail Intermodal Terminal,scraped
2063,Chicago Kensington CSS,scraped
2066,Ridgefield Park Auto Facility,scraped
2074,Sidney BNSF,scraped
2075,Springerville,scraped
2081,Valdosta Langdale Yard,scraped
2084,Valdosta West CSX,scraped
2085,Valdosta,scraped
2088,Williamson,scraped
2090,Gurley,scraped
2093,Pekin TZPR,scraped
2099,El Paso BNSF Yard,scraped
2100,Galesburg,scraped
2102,Winnipeg St. Boniface Yard,scraped
2104,Springfield,scraped
2107,Farnham,scraped
2108,Montgomery,scraped
2109,St. Joseph UP,scraped
2113,Decatur Old Yard,scraped
2115,Venice KCS,scraped
2122,Axial,scraped
2124,Mason City UP,scraped
2126,Chicago Burr Oak Yard,scraped
2127,Yorkton CN,scraped
2128,Davenport Nahant Yard CPKC,scraped
2129,Silvis,scraped
2130,Indiana Harbor Works,scraped
2135,Tigard,scraped
2137,Portland Barnes Yard,scraped
2142,Winnipeg CPKC Yard,scraped
2143,St. Cloud BNSF,scraped
2144,Sarnia Yard,scraped
2145,San Diego,scraped
2147,Teague,scraped
2149,Limestone Generating Station,scraped
2152,Slater,scraped
2153,Iowa City IAIS,scraped
2154,Modesto,scraped
2157,Artesia,scraped
2164,Baltimore Bay View CSX Yard,scraped
2169,Fostoria C&O Yard,scraped
2173,North St. Louis Yard BNSF,scraped
2177,Sewaren,scraped
2180,Bruderheim CPKC,scraped
2183,Joliet Global 4,scraped
2184,Tulsa Cherokee Yard,scraped
2187,Winnebago,scraped
2188,Louisville Osborne Yard,scraped
2189,Old Town,scraped
2193,Kansas City Gooseneck,scraped
2196,Kansas City State Line Yard,scraped
2198,Kansas City Rosedale,scraped
2200,Oklahoma City Flynn Yard,scraped
2201,Chalmette,scraped
2203,Omaha Gibson Yard,scraped
2204,North Omaha,scraped
2210,Valliant KRR,scraped
2214,Chicago NS Burnham Yard,scraped
2215,Lansing Snow Yard,scraped
2219,McKeesport Demmler Yard,scraped
2220,Port Perry,scraped
2222,Moncton,scraped
2226,Hankinson CPKC,scraped
2227,Enderlin CPKC,scraped
2228,New Town,scraped
2234,St. James,scraped
2237,Oakland BNSF,scraped
2239,San Antonio Kirby Yard,scraped
2241,South San Antonio Yard,scraped
2244,Baltimore Curtis Bay,scraped
2245,Edmundston,scraped
2249,Keysville Transload,scraped
2251,Petersburg Collier Yard,scraped
2252,Petersburg Jack,scraped
2253,Petersburg Belt Line Ameristeel,scraped
2254,Petersburg Broadway Yard,scraped
2255,Petersburg Poe Auto Terminal,scraped
2261,Grand Island,scraped
2263,North Loup,scraped
2268,Sherbrooke,scraped
2269,Lennoxville,scraped
2272,Danville Jct,scraped
2273,White River Junction,scraped
2274,Bellows Falls,scraped
2280,Mulberry,scraped
2281,Dodge City,scraped
2294,Casey,scraped
2298,Battle Creek Center CN,scraped
2300,Salaberry-de-Valleyfield CSX,scraped
2301,Baton Rouge D Line,scraped
2305,Birmingham Alice Yard,scraped
2307,Crestline,scraped
2312,Kansas City Muncie,scraped
2321,Fresno Calwa UP,scraped
2326,Ross,scraped
2330,Temple,scraped
2331,Conshohocken,scraped
2336,Kansas City International Freight Gateway,scraped
2341,Chattanooga Tyner,scraped
2342,Kingsport CSX,scraped
2343,Kingsport NS,scraped
2348,McCalla,scraped
2353,Parma,scraped
2356,Shakopee Valley Park Yard,scraped
2370,Cleveland Clark Ave. Yard,scraped
2375,Rock Island IAIS,scraped
2378,Mina,scraped
2380,Hager City,scraped
2388,Chicago Hawthorne Crossing,scraped
2390,Thomas Hill Energy Center,scraped
2392,Bossier City,scraped
2393,Tenaha BNSF,scraped
2394,Tenaha UP,scraped
2395,Mansfield Paper Mill CPKC,scraped
2396,Mansfield Paper Mill UP,scraped
2397,Port of Caddo-Bossier,scraped
2398,Shreveport Reisor Yard,scraped
2402,South Amana,scraped
2404,Chicago State Line Jct.,scraped
2407,Denver Big Lift,scraped
2408,Chicago Pullman Branch,scraped
2411,Alliston,scraped
2414,Butner,scraped
2418,Turkey,scraped
2420,Milwaukee Butler Yard,scraped
2429,Windsor Walkerville,scraped
2431,Maysville,scraped
2432,Saskatoon Viterra CPKC,scraped
2433,Columbus Rickenbacker Intermodal Terminal,scraped
2436,Marysville,scraped
2438,Chester CSX,scraped
2439,Chester LC,scraped
2442,West Point,scraped
2444,Catlettsburg,scraped
2446,Mexico Eagle Pass Interchange BNSF,scraped
2448,Aurora RTC,scraped
2453,Wallula BNSF,scraped
2454,Logistics Park Kansas City,scraped
2465,Superior Stinson Yard,scraped
2474,Pokegama,scraped
2475,Superior Itasca Yard,scraped
2481,Gardendale,scraped
2485,Halsted,scraped
2492,Trona,scraped
2500,Bluefield,scraped
2511,Los Angeles Manuel Yard,scraped
2512,Los Angeles Wilmington Wye,scraped
2513,Los Angeles Phillips 66 Carson Refinery,scraped
2520,Sudbury CN,scraped
2525,Altona,scraped
2530,Houston Bayport UP,scraped
2531,Spring,scraped
2536,San Jose,scraped
2540,Joliet BNSF,scraped
2552,Terre Haute Youngs Spur,scraped
2556,Valley Jct.,scraped
2557,Kendleton,scraped
2565,Fowlerville,scraped
2566,Webberville,scraped
2583,Council Bluffs Island Park IAIS,scraped
2585,Louisville O'Bannon Yard,scraped
2589,Winnipeg Ft. Whyte,scraped
2590,Kansas City Avondale Yard,scraped
2606,Riviera Beach,scraped
2613,Sioux City UP,scraped
2617,Kalama UP,scraped
2618,Centralia PSAP,scraped
2631,Roosevelt,scraped
2680,Victorville,scraped
2685,East Edmonton,scraped
2689,Tolk Generating Station,scraped
2707,Phoenix Campo Yard,scraped
2713,Kamloops CPKC Yard,scraped
2719,Des Moines IAIS,scraped
2723,Avon,scraped
2730,Spofford,scraped
2741,Fayetteville CSX,scraped
2764,Copley,scraped
2768,North Vernon,scraped
2770,Dundee,scraped
2774,Columbia Andrews Yard,scraped
2775,Columbia Devine Jct.,scraped
2785,Westfield CSX,scraped
2789,Holyoke PAS,scraped
2792,Lloydminster Husky Upgrader CPKC,scraped
2793,Vermilion,scraped
2808,Brattleboro,scraped
2809,Pittsburg,scraped
2811,Villa Grove,scraped
2816,Janesville UP,scraped
2818,Janesville CPKC,scraped
2824,Wichita BNSF Yard,scraped
2825,Wichita UP Yard,scraped
2831,Coffeyville UP,scraped
2833,Parsons,scraped
2839,Boone UP,scraped
2844,Cheyenne BNSF,scraped
2845,Speer,scraped
2854,Vancouver Port Moody,scraped
2861,Springfield Yard,scraped
2863,John Twitty Energy Center,scraped
2869,Aurora BNSF,scraped
2870,Aurora MNA,scraped
2871,Nevada,scraped
2876,Tupelo BNSF,scraped
2877,Blue Springs,scraped
2884,Shelby,scraped
2886,Collins,scraped
2888,Pottersburg,scraped
2889,Sidney,scraped
2890,Ansonia,scraped
2893,Fort Dodge UP,scraped
2894,Fort Dodge CN,scraped
2895,Tara CN,scraped
2896,Tara UP,scraped
2897,Knierim,scraped
2902,Granite City America's Central Port,scraped
2903,Granite City AA Siding,scraped
2904,Knoxville Sevier Yard,scraped
2918,Portage,scraped
2920,Gary Kirk Yard,scraped
2922,Chicago Calumet River Industrial Track NS,scraped
2927,East Chicago Calumet Branch,scraped
2928,East Chicago Calumet Tower,scraped
2929,East Chicago Peiguss Yard,scraped
2943,Toledo Sumner Street Yard,scraped
2946,Rock Hill,scraped
2947,East Chester NS,scraped
2949,Garrett,scraped
2950,Milford Junction CSX,scraped
2952,St Joe,scraped
2954,Defiance FC Tower,scraped
2962,Woodville,scraped
2966,Regina CPKC Intermodal,scraped
2977,Chicago LaSalle St Station,scraped
2978,Chicago Millennium Station,scraped
2986,Callender,scraped
2989,Roelyn,scraped
2990,Butler,scraped
3001,Hammond Colehour Yard,scraped
3002,Mt. Vernon UP,scraped
3005,Woodlawn,scraped
3021,Fremont,scraped
3022,Marion NS,scraped
3054,Savanna,scraped
3059,Port of Vancouver UP,scraped
3075,Rossville,scraped
3077,Sandusky,scraped
3078,Parkertown NS,scraped
3090,Long Beach UP,scraped
3107,Conneaut NS,scraped
3118,San Antonio Intermodal Terminal,scraped
3119,San Antonio Cadet Yard,scraped
3143,Florence,scraped
3144,Dillon,scraped
3162,Plymouth,scraped
3170,Herrington,scraped
3174,Detroit Delray NS,scraped
3175,Waterford,scraped
3176,Eagle Bridge/Hoosick Jct,scraped
3178,Albany Kenwood Yard,scraped
3188,Grand Forks,scraped
3189,East Grand Forks,scraped
3233,Hamilton Port,scraped
3236,Hamilton Kinnear Yard,scraped
3239,Palmer CSX/MCER,scraped
3248,Ft. Worth Hodge Yard,scraped
3262,Watts,scraped
3263,Siloam Springs,scraped
3294,Jersey City South Kearny Intermodal Terminal,scraped
3300,Kent Orillia Yard,scraped
3303,Wolsey,scraped
3310,Crawford,scraped
3312,Helvetia,scraped
3313,Burnside,scraped
3318,Colorado Springs Kelker UP,scraped
3322,Fountain BNSF,scraped
3323,Pueblo BNSF,scraped
3328,Pueblo Minnequa BNSF,scraped
3334,Houston Pasadena UP,scraped
3335,Centralia BNSF,scraped
3349,Alma,scraped
3352,Carey CSX,scraped
3358,Kansas City Hawthorn Power Plant BNSF,scraped
3359,Savannah Southover Yard,scraped
3371,Palmyra,scraped
3393,Moberly,scraped
3398,Mexico CPKC,scraped
3404,Twin Oaks,scraped
3409,Eddyville,scraped
3412,Baltimore 5th Ave. Yard,scraped
3413,Baltimore Penn-Mary Yard,scraped
3423,College Park,scraped
3434,East Brookfield,scraped
3438,Calgary Logistics,scraped
3440,Stevens Point,scraped
3455,West Paducah CN,scraped
3456,Fulton,scraped
3465,Don,scraped
3467,Rupert,scraped
3469,Burley,scraped
3475,Whitehall,scraped
3478,Rutland,scraped
3480,Houston Settegast Yard,scraped
3482,Marion CSX,scraped
3486,Linwood,scraped
3490,Newport,scraped
3498,King of Prussia Abrams Yard,scraped
3508,New Westminster CPKC Dock Yard,scraped
3511,Muscatine Luke Yard,scraped
3516,North Fond Du Lac Shops Yard,scraped
3523,Flint CN Yard,scraped
3526,Sharonville,scraped
3530,Saginaw BNSF,scraped
3542,Belleville CN,scraped
3545,Brazos Yard,scraped
3563,Norwood,scraped
3567,Montpelier,scraped
3569,Edon,scraped
3592,Philadelphia West Falls Yard,scraped
3608,Alton UP,scraped
3616,Clyde,scraped
3622,Wilkie,scraped
3627,Lloydminster Aberfeldy Yard,scraped
3628,Champaign,scraped
3631,Rising NS,scraped
3633,Morrisville Morris Tower,scraped
3636,Woodbourne,scraped
3645,Longview Junction,scraped
3647,Kankakee CN,scraped
3649,Kankakee Hobbie Yard NS,scraped
3658,East Peoria TZPR,scraped
3663,Bartonville,scraped
3676,Frankfort NS,scraped
3678,Lebanon,scraped
3679,Scircleville,scraped
3680,Tipton,scraped
3682,Gilman CN,scraped
3683,Gilman TPW,scraped
3684,Sheldon,scraped
3685,Effner,scraped
3686,Wolcott,scraped
3687,Watseka,scraped
3691,North Charleston Port CSX,scraped
3700,Barnesville,scraped
3701,Forsyth,scraped
3702,Amory BNSF,scraped
3707,Talladega CSX,scraped
3709,Artesia,scraped
3710,Columbus Steel Dynamics CPKC,scraped
3715,Dalhart UP,scraped
3716,Dalhart BNSF,scraped
3717,Santa Rosa,scraped
3719,Kansas City Murray Yard BNSF,scraped
3724,Iatan,scraped
3741,Temple UP,scraped
3750,Brada,scraped
3761,Ayr Wolverton Yard,scraped
3762,Woodstock Toyota Spur,scraped
3763,Guelph CN,scraped
3773,Houston Seabrook UP,scraped
3774,Houston Seabrook BNSF,scraped
3780,Houston Barbours Cut PTRA,scraped
3785,Greenbrier,scraped
3786,Milford,scraped
3787,Bloom,scraped
3788,Delta,scraped
3789,Iron Springs,scraped
3790,Cedar City,scraped
3791,Elko UP,scraped
3793,Osino,scraped
3794,Battle Mountain UP,scraped
3795,Battle Mountain BNSF,scraped
3796,Winnemucca,scraped
3797,Colado,scraped
3798,Empire,scraped
3804,Wurno,scraped
3806,Montclair,scraped
3807,Pomona,scraped
3808,Chino,scraped
3809,Lima Robb Ave. Yard CSX,scraped
3832,Wayne CSX,scraped
3835,Massillon,scraped
3836,Massillon Energy & Tech Park,scraped
3839,Picayune,scraped
3840,Fort Morgan,scraped
3841,Pawnee,scraped
3848,Michigan City AMTK,scraped
3854,Burlington,scraped
3855,Wever,scraped
3869,Canton Yard,scraped
3874,Oshawa CN,scraped
3875,Oshawa South Yard,scraped
3878,Oshawa GO,scraped
3879,Lafayette,scraped
3880,New Iberia,scraped
3887,Les Coteaux,scraped
3890,Ottawa Station,scraped
3896,Calgary Foothills Industrial Park,scraped
3898,Diann,scraped
3901,Auburn CSX,scraped
3906,Windsor,scraped
3907,Bromptonville,scraped
3915,Winnipeg Transcona Yard,scraped
3916,Winnipeg North Transcona Yard,scraped
3917,Winnipeg North Transcona,scraped
3938,Welland PCHR,scraped
3943,Saint-Lambert Southwark Yard,scraped
3945,Saint-Hyacinthe,scraped
3952,Pittsburgh Island Ave. Yard,scraped
3954,McKees Rocks,scraped
3957,Coalhurst Kipp Yard,scraped
3958,Lethbridge,scraped
3959,Wilson Siding,scraped
3973,Brownsville,scraped
3975,Griffith,scraped
3993,West Irving,scraped
3995,Sherman BNSF,scraped
3999,Loring,scraped
4002,North Topeka,scraped
4003,Lawrence,scraped
4004,South Topeka,scraped
4005,Junction City,scraped
